Alder (mnd),Alder,Gutter,Gutter nedre feilmargin,Gutter øvre feilmargin,Jenter,Jenter nedre feilmargin,Jenter øvre feilmargin
61,"5 år, 1 mnd",24.42964239,19.21306441,29.64622038,38.0341089,32.11518844,43.95302936
62,"5 år, 2 mnd",25.40965571,21.46902107,29.35029036,40.3936348,35.90422426,44.88304535
63,"5 år, 3 mnd",26.38966904,23.57902245,29.20031562,42.7531607,39.55098192,45.95533948
64,"5 år, 4 mnd",27.40608748,25.32666402,29.48551093,45.13121687,42.81939454,47.4430392
65,"5 år, 5 mnd",28.64093665,26.62885556,30.65301775,47.62045465,45.47310575,49.76780355
66,"5 år, 6 mnd",30.31264727,28.11940217,32.50589236,50.33205566,48.00441434,52.65969697
67,"5 år, 7 mnd",32.57594119,30.43021175,34.72167063,53.34477358,51.05271138,55.63683578
68,"5 år, 8 mnd",35.33070446,33.29408362,37.3673253,56.60765024,54.46227969,58.75302078
69,"5 år, 9 mnd",38.41311325,36.05676593,40.76946056,60.03729903,57.66825209,62.40634597
70,"5 år, 10 mnd",41.65934586,38.41667791,44.90201382,63.55033442,60.3724918,66.72817705
71,"5 år, 11 mnd",44.93288167,40.51785456,49.34790878,67.07726719,62.7642967,71.39023769
72,6 år,48.20641748,42.50880015,53.90403481,70.60419996,65.02641007,76.18198985
