Alder (mnd),Alder,Gutter,Gutter nedre feilmargin,Gutter øvre feilmargin,Jenter,Jenter nedre feilmargin,Jenter øvre feilmargin
61,"5 år, 1 mnd",26.91518737,21.4478255,32.38254924,52.78843874,46.86809652,58.70878096
62,"5 år, 2 mnd",29.05744936,24.92378611,33.19111262,54.94440996,50.44260328,59.44621663
63,"5 år, 3 mnd",31.19971136,28.2484469,34.15097582,57.10038118,53.88643585,60.3143265
64,"5 år, 4 mnd",33.35542403,31.17375956,35.5370885,59.25823134,56.96461105,61.55185163
65,"5 år, 5 mnd",35.59184076,33.48770021,37.69598132,61.42735519,59.35083116,63.50387921
66,"5 år, 6 mnd",37.98966562,35.696401,40.28293024,63.61902638,61.38861527,65.84943749
67,"5 år, 7 mnd",40.60606401,38.36090626,42.85122176,65.84123045,63.64999446,68.03246644
68,"5 år, 8 mnd",43.40404662,41.28979439,45.51829884,68.08880031,66.05354872,70.1240519
69,"5 år, 9 mnd",46.32308511,43.92294539,48.72322482,70.35328065,68.1290157,72.57754561
70,"5 år, 10 mnd",49.30265193,46.02924083,52.57606304,72.62621629,69.64373913,75.60869345
71,"5 år, 11 mnd",52.29230653,47.83843275,56.74618031,74.90056111,70.83919763,78.96192459
72,6 år,55.28196112,49.52804922,61.03587302,77.17490592,71.90810464,82.44170721
