Alder (mnd),Alder,Gutter,Gutter nedre feilmargin,Gutter øvre feilmargin,Jenter,Jenter nedre feilmargin,Jenter øvre feilmargin
61,"5 år, 1 mnd",0.237194816,0.1005921855,0.3737974466,−0.135751075825915,−0.236533772603474,−0.0349683790483558
62,"5 år, 2 mnd",0.2186439945,0.1146745232,0.3226134659,−0.143007051292483,−0.21956142696568,−0.0664526756192867
63,"5 år, 3 mnd",0.200093173,0.1259574219,0.2742289242,−0.150263026759052,−0.204933689693706,−0.0955923638243976
64,"5 år, 4 mnd",0.1819738786,0.1296894557,0.2342583014,−0.157509273696564,−0.196834814693749,−0.118183732699378
65,"5 år, 5 mnd",0.1664437463,0.1200668418,0.2128206508,−0.164697149459735,−0.200768140492053,−0.128626158427418
66,"5 år, 6 mnd",0.1560919382,0.106437893,0.2057459833,−0.171768282880442,−0.210482721055185,−0.1330538447057
67,"5 år, 7 mnd",0.1527524452,0.1035837375,0.2019211529,−0.178681327683778,−0.216491608107078,−0.140871047260479
68,"5 år, 8 mnd",0.1552385696,0.1086464565,0.2018306827,−0.18546303729113,−0.22083087645111,−0.15009519813115
69,"5 år, 9 mnd",0.1616084305,0.1095104485,0.2137064126,−0.192157190290582,−0.232108833961294,−0.15220554661987
70,"5 år, 10 mnd",0.1699201723,0.09992211966,0.2399182249,−0.198807564701949,−0.253524146997382,−0.144090982406516
71,"5 år, 11 mnd",0.1785555516,0.08378996874,0.2733211345,−0.205450642890334,−0.280247184762869,−0.1306541010178
72,6 år,0.1871909309,0.06491499239,0.3094668694,−0.21209372107872,−0.309011684102298,−0.115175758055141
,,,,,,,
,,Estimatet,Usikkerheten,,,,
,,Standardiserte verdier (betaer). 95% konfidensintervaller overlapper ikke. De er signifkant forskjellig,,,,,
